#,Date Time,Temp C ,RH % ,CO2_1 ppm,CO2_2 ppm
230,04/17/10 06:38:00  PM,20.913,36.386,445.7,440.2
231,04/17/10 06:40:00  PM,20.913,36.386,442.6,440.2
232,04/17/10 06:42:00  PM,20.936,36.389,449.9,440.2
233,04/17/10 06:44:00  PM,20.936,36.389,439.6,440.2
234,04/17/10 06:46:00  PM,20.936,36.356,441.4,440.2
235,04/17/10 06:48:00  PM,20.936,36.356,444.4,440.2
236,04/17/10 06:50:00  PM,20.936,36.356,442.6,439.6
237,04/17/10 06:52:00  PM,20.936,36.356,436.5,439.6
238,04/17/10 06:54:00  PM,20.936,36.389,440.2,438.9
239,04/17/10 06:56:00  PM,20.936,36.323,443.8,438.9
240,04/17/10 06:58:00  PM,20.936,36.356,442,438.9
241,04/17/10 07:00:00  PM,20.936,36.323,444.4,438.3
242,04/17/10 07:02:00  PM,20.936,36.323,441.4,438.3
243,04/17/10 07:04:00  PM,20.96,36.325,437.7,438.3
244,04/17/10 07:06:00  PM,20.96,36.325,440.8,437.7
245,04/17/10 07:08:00  PM,20.96,36.325,442.6,437.1
246,04/17/10 07:10:00  PM,20.96,36.325,442,437.1
247,04/17/10 07:12:00  PM,20.96,36.26,447.5,437.1
248,04/17/10 07:14:00  PM,20.96,36.325,445.7,437.1
249,04/17/10 07:16:00  PM,20.96,36.292,442.6,437.1
250,04/17/10 07:18:00  PM,20.96,36.292,437.7,436.5
251,04/17/10 07:20:00  PM,20.96,36.26,440.2,435.9
252,04/17/10 07:22:00  PM,20.96,36.26,444.4,435.9
253,04/17/10 07:24:00  PM,20.984,36.262,442,435.3
254,04/17/10 07:26:00  PM,20.984,36.295,443.8,435.3
255,04/17/10 07:28:00  PM,20.984,36.262,446.9,435.3
256,04/17/10 07:30:00  PM,20.984,36.262,442.6,435.3
257,04/17/10 07:32:00  PM,20.984,36.262,442,434.7
258,04/17/10 07:34:00  PM,20.984,36.262,445.7,434.7
259,04/17/10 07:36:00  PM,20.984,36.229,453,434.7
260,04/17/10 07:38:00  PM,21.008,36.396,454.8,435.3
261,04/17/10 07:40:00  PM,21.008,36.396,501.2,437.1
262,04/17/10 07:42:00  PM,21.056,36.63,548.2,440.8
263,04/17/10 07:44:00  PM,21.103,36.438,573.3,446.3
264,04/17/10 07:46:00  PM,21.127,36.145,507.3,449.9
265,04/17/10 07:48:00  PM,21.127,36.079,473.7,451.8
266,04/17/10 07:50:00  PM,21.127,36.013,456,451.8
267,04/17/10 07:52:00  PM,21.127,36.013,452.4,451.2
268,04/17/10 07:54:00  PM,21.127,36.013,450.5,450.5
269,04/17/10 07:56:00  PM,21.103,35.978,454.8,450.5
270,04/17/10 07:58:00  PM,21.103,35.978,450.5,449.9
271,04/17/10 08:00:00  PM,21.079,35.976,451.8,449.3
272,04/17/10 08:02:00  PM,21.079,36.008,447.5,449.3
273,04/17/10 08:04:00  PM,21.079,35.976,444.4,448.7
274,04/17/10 08:06:00  PM,21.056,36.006,448.1,448.1
275,04/17/10 08:08:00  PM,21.056,36.006,453.6,447.5
276,04/17/10 08:10:00  PM,21.056,36.006,448.7,447.5
277,04/17/10 08:12:00  PM,21.056,36.006,446.9,446.9
278,04/17/10 08:14:00  PM,21.056,36.006,447.5,446.3
279,04/17/10 08:16:00  PM,21.056,36.006,449.9,446.3
280,04/17/10 08:18:00  PM,21.056,35.973,450.5,445.7
281,04/17/10 08:20:00  PM,21.056,36.006,447.5,445.7
282,04/17/10 08:22:00  PM,21.056,36.006,440.8,445.1
283,04/17/10 08:24:00  PM,21.032,35.938,442,444.4
284,04/17/10 08:26:00  PM,21.032,35.971,448.7,443.8
285,04/17/10 08:28:00  PM,21.032,35.938,448.7,443.8
286,04/17/10 08:30:00  PM,21.032,35.938,449.3,443.8
287,04/17/10 08:32:00  PM,21.032,35.938,451.8,443.8
288,04/17/10 08:34:00  PM,21.032,35.938,450.5,443.8
289,04/17/10 08:36:00  PM,21.032,35.938,457.3,443.8
